# #ID1 ID2 z_infall, t_infall, delta_t_pair, delta_t_BK, delta_tpair_BK, mstar_primary, mstar_secondary, mvir_primary, mvir_secondary
1982340527 1982707714 4.754564 1.251895 4.724154 0.684880 4.039274 3461791644.134972 2324626977.041954 242971946661.648956 126722844044.819733
1982097852 1982711286 4.754564 1.251895 1.561318 0.448727 1.112591 5709075565.018230 2396606594.780773 258340934087.706512 115212138018.066849
1982322601 1982726252 3.758290 1.662507 4.599820 2.372546 2.227273 37863665829.339752 1965511476.228999 1122358794970.269775 95623016077.618454
1982217776 1982730756 3.944742 1.569951 1.672308 0.491857 1.180451 813193085.321634 404456128.364220 48797211237.199188 26452797784.632790
1982238544 1982731982 4.977046 1.182899 1.049673 0.320412 0.729261 634760870.361213 838205612.915048 82032094335.658661 55320027464.842697
1982238544 1982740366 4.977046 1.182899 0.763199 0.320412 0.442787 634760870.361213 838205612.915048 82032094335.658661 55320027464.842697
1981959931 1982740897 4.754564 1.251895 0.292086 0.684880 -0.392794 3461791644.134972 2324626977.041954 242971946661.648956 126722844044.819733
1982418768 1982743345 4.754564 1.251895 0.905464 0.790167 0.115297 1973829442.232097 361212586.809844 128807946943.722488 27566588650.751534
1982245919 1982752750 2.933608 2.206064 3.898278 2.738556 1.159722 57384780106.053978 7100963710.031199 1998653774312.840576 198351457932.961792
1982310818 1982755769 4.542117 1.324257 1.704268 0.572934 1.131334 1918478437.370355 597875855.674020 177893389149.253540 61358968708.084579
1982238544 1982782867 4.977046 1.182899 1.202129 0.320412 0.881717 634760870.361213 838205612.915048 82032094335.658661 55320027464.842697
1981810104 1982784181 4.542117 1.324257 0.826529 0.356771 0.469758 1704924985.316775 1505648093.876268 73181745321.325409 49772173296.965935
1981810795 1982786957 4.754564 1.251895 0.478811 0.684880 -0.206069 3461791644.134972 2324626977.041954 242971946661.648956 126722844044.819733
1982363368 1982798626 4.754564 1.251895 1.975229 0.477246 1.497983 134204001.517809 75586159.231653 19391583920.614380 7939526873.811379
1981962556 1982800881 4.335206 1.401668 3.214863 1.129559 2.085305 587207167.403751 177325603.785393 73132940494.859116 11727418013.964876
1982729399 1982801295 1.588839 4.072332 1.843580 1.721429 0.122151 7267038768.989511 1131636237.322656 175188867573.313782 63877310632.616608
1982001680 1982804306 2.999731 2.152213 5.565059 0.751144 4.813914 238852538.664108 147240418.163706 24500127005.663536 11411742070.788279
1981808916 1982807176 1.399205 4.541844 1.546378 1.741927 -0.195549 13831179048.155344 11318080553.187603 318969934726.487915 133751444603.821243
1982168562 1982808210 1.671233 3.892268 2.774900 2.221830 0.553070 23589581003.251072 8637917932.417652 1326666578131.713135 327826565044.299072
1982478806 1982811925 1.793287 3.648257 4.264711 1.000397 3.264314 863911513.137120 499917970.554814 57456094033.483284 38900618192.161438
1981822212 1982830867 4.754564 1.251895 2.068024 0.448727 1.619297 5709075565.018230 2396606594.780773 258340934087.706512 115212138018.066849
1982601313 1982848540 3.618081 1.738235 6.117561 1.143675 4.973885 363893307.735507 56992867.184702 41824089201.232086 8531922755.460131
1981810104 1982848837 4.542117 1.324257 1.599250 0.356771 1.242479 1704924985.316775 1505648093.876268 73181745321.325409 49772173296.965935
1982097852 1982849122 4.754564 1.251895 1.629244 0.448727 1.180517 5709075565.018230 2396606594.780773 258340934087.706512 115212138018.066849
1981823780 1982849397 4.754564 1.251895 0.855425 0.684880 0.170545 3461791644.134972 2324626977.041954 242971946661.648956 126722844044.819733
1982033306 1982858114 4.542117 1.324257 1.962011 0.647075 1.314936 375577574.871465 219169450.585399 53409944444.508224 15717832594.593290
1982363368 1982882756 2.933608 2.206064 5.422672 1.329024 4.093648 2080328176.699435 409529837.094792 153751777749.455536 34990669293.329391
1981810195 1982892066 4.134697 1.484127 0.594331 0.997281 -0.402950 25715683939.124413 4951998103.191280 755861494066.699585 150051501046.689117
1982730756 1982893586 3.944742 1.569951 1.315916 0.491857 0.824059 813193085.321634 404456128.364220 48797211237.199188 26452797784.632790
1982238544 1982900278 4.977046 1.182899 1.149150 0.320412 0.828738 634760870.361213 838205612.915048 82032094335.658661 55320027464.842697
1982175062 1982901287 3.944742 1.569951 0.784048 0.821466 -0.037418 55728248.728813 28015914.139161 17127479952.012730 4625981866.848643
1982570394 1982909498 2.498656 2.623408 1.186379 1.114669 0.071709 1662261587.321254 350555638.063119 86213375864.712906 30723537615.692623
1981815256 1982919276 4.977046 1.182899 8.627439 0.894856 7.732583 133874339.148435 134149648.517040 25309051673.409195 21827784288.844707
1981820126 1982925669 3.758290 1.662507 0.934897 0.900981 0.033915 1494436729.373802 754690265.332930 130465780585.528854 33716359122.786369
1982278999 1982926710 2.933608 2.206064 0.660726 1.165078 -0.504352 1752673497.567298 374177385.793298 110679285370.837357 29652439015.832489
1981824918 1982934758 3.498869 1.807232 2.858704 0.805219 2.053486 842520402.989237 347353300.395624 68554821780.900940 22824010593.635872
1982919276 1982942235 4.977046 1.182899 1.886039 0.274786 1.611253 133874339.148435 134149648.517040 25309051673.409195 21827784288.844707
1981809097 1982943995 3.944742 1.569951 2.920167 0.521686 2.398480 1528877683.844401 723944271.047801 122355309806.391327 60847157644.170166
1981809470 1982963667 4.754564 1.251895 0.374068 0.448727 -0.074659 5709075565.018230 2396606594.780773 258340934087.706512 115212138018.066849
1982670251 1982972225 4.542117 1.324257 0.979457 0.369069 0.610388 47366991.354534 39340685.178355 14841005475.406719 9579591656.640354
1982185766 1982987368 3.410939 1.861082 1.653991 0.458202 1.195789 289041181.951991 361131482.013504 48197952769.350998 37960669323.892632
1981863937 1983000859 2.933608 2.206064 2.042879 0.869078 1.173800 2364292095.905595 1007884899.764621 147835133297.475464 58150612478.005157
1982448502 1983009695 1.896067 3.461462 0.883951 1.370986 -0.487035 3946268519.075001 6245970599.191180 346913708812.596375 137134418166.864517
1982686760 1983010260 3.758290 1.662507 1.411439 0.561803 0.849635 426823041.057206 182241698.667329 42434454958.708115 20609779300.883411
1982739105 1983010841 4.542117 1.324257 1.993031 0.637713 1.355318 1811205427.768901 656634709.757107 136107540512.039993 40822238573.542809
1982623497 1983015849 2.131505 3.087872 1.356809 0.793471 0.563339 372218662.089495 273186211.614388 25738971935.537384 19152565644.927830
1981812524 1983021884 3.944742 1.569951 3.109223 0.430076 2.679146 284426969.959066 243820185.360211 22672721258.192455 15042764946.861229
1982820552 1983024430 3.498869 1.807232 1.232770 0.913659 0.319111 1222982824.844242 565011464.242619 124980685434.574142 35333288438.171082
1981827261 1983034149 3.944742 1.569951 0.571735 0.739650 -0.167916 125621683.903314 51971080.838444 20162805602.185120 6230734880.306499
1982942235 1983037678 4.977046 1.182899 1.800728 0.274786 1.525942 133874339.148435 134149648.517040 25309051673.409195 21827784288.844707
1982743345 1983052462 4.754564 1.251895 0.692908 0.790167 -0.097259 1973829442.232097 361212586.809844 128807946943.722488 27566588650.751534
1981828476 1983056831 2.786739 2.333960 1.783287 0.672649 1.110638 739710884.212102 359562688.906721 58388673810.299232 36046362417.318031
